Customer_ID,Customer_Type
C0438,Member
C0434,Non-Member
C0229,Member
C0387,Member
C0311,Non-Member
C0446,Member
C0091,Member
C0493,Non-Member
C0061,Non-Member
C0058,Non-Member
C0216,Member
C0379,Member
C0248,Non-Member
C0247,Non-Member
C0014,Member
C0336,Non-Member
C0188,Non-Member
C0471,Non-Member
C0035,Member
C0265,Non-Member
C0231,Non-Member
C0164,Member
C0167,Non-Member
C0038,Member
C0410,Non-Member
C0435,Non-Member
C0385,Non-Member
C0464,Member
C0067,Member
C0044,Non-Member
C0087,Non-Member
C0155,Member
C0320,Non-Member
C0142,Member
C0175,Member
C0043,Member
C0079,Member
C0055,Member
C0176,Non-Member
C0256,Member
C0211,Member
C0072,Non-Member
C0403,Non-Member
C0136,Non-Member
C0260,Non-Member
C0470,Member
C0454,Non-Member
C0262,Member
C0262,Non-Member
C0384,Non-Member
C0358,Member
C0459,Member
C0076,Member
C0451,Member
C0481,Member
C0422,Non-Member
C0214,Non-Member
C0099,Member
C0147,Non-Member
C0181,Member
C0193,Non-Member
C0179,Non-Member
C0420,Non-Member
C0232,Non-Member
C0035,Non-Member
C0279,Non-Member
C0251,Member
C0453,Non-Member
C0171,Member
C0274,Member
C0012,Member
C0220,Member
C0026,Member
C0331,Non-Member
C0116,Non-Member
C0482,Non-Member
C0094,Member
C0273,Non-Member
C0432,Member
C0173,Non-Member
C0082,Member
C0037,Non-Member
C0007,Member
C0291,Non-Member
C0364,Member
C0194,Non-Member
C0498,Non-Member
C0353,Non-Member
C0188,Member
C0418,Member
C0443,Member
C0071,Member
C0473,Non-Member
C0055,Non-Member
C0351,Non-Member
C0067,Non-Member
C0183,Non-Member
C0421,Non-Member
C0411,Non-Member
C0371,Member
C0190,Member
C0066,Non-Member
C0314,Member
C0481,Non-Member
C0355,Non-Member
C0415,Non-Member
C0246,Non-Member
C0100,Non-Member
C0482,Member
C0192,Non-Member
C0191,Member
C0373,Member
C0073,Member
C0465,Non-Member
C0495,Member
C0148,Non-Member
C0112,Member
C0329,Non-Member
C0398,Non-Member
C0322,Member
C0363,Member
C0328,Member
C0384,Member
C0005,Non-Member
C0237,Non-Member
C0130,Non-Member
C0490,Non-Member
C0335,Non-Member
C0154,Member
C0359,Member
C0270,Member
C0245,Member
C0281,Non-Member
C0393,Non-Member
C0357,Member
C0202,Non-Member
C0283,Non-Member
C0485,Non-Member
C0182,Non-Member
C0383,Non-Member
C0022,Member
C0460,Non-Member
C0442,Member
C0045,Member
C0438,Non-Member
C0217,Member
C0252,Member
C0178,Member
C0134,Member
C0474,Member
C0386,Non-Member
C0064,Non-Member
C0004,Non-Member
C0151,Non-Member
C0160,Member
C0141,Non-Member
C0487,Member
C0222,Non-Member
C0238,Member
C0142,Non-Member
C0198,Member
C0299,Member
C0285,Member
C0377,Member
C0197,Member
C0132,Member
C0213,Non-Member
C0097,Non-Member
C0019,Member
C0157,Member
C0466,Non-Member
C0113,Member
C0309,Non-Member
C0117,Non-Member
C0032,Member
C0468,Member
C0069,Non-Member
C0295,Non-Member
C0317,Member
C0380,Member
C0225,Member
C0461,Non-Member
C0429,Member
C0404,Non-Member
C0235,Non-Member
C0417,Non-Member
C0098,Non-Member
C0260,Member
C0043,Non-Member
C0337,Non-Member
C0239,Member
C0369,Member
C0458,Non-Member
C0436,Member
C0325,Member
C0184,Member
C0196,Member
C0489,Member
C0469,Non-Member
C0151,Member
C0493,Member
C0304,Member
C0126,Non-Member
C0179,Member
C0156,Non-Member
C0404,Member
C0153,Member
C0104,Non-Member
C0062,Non-Member
C0189,Member
C0277,Non-Member
C0406,Member
C0464,Non-Member
C0483,Member
C0318,Member
C0313,Member
C0013,Member
C0016,Member
C0226,Member
C0467,Member
C0402,Non-Member
C0227,Non-Member
C0189,Non-Member
C0254,Member
C0383,Member
C0237,Member
C0201,Non-Member
C0382,Member
C0463,Member
C0389,Member
C0381,Member
C0149,Member
C0275,Member
C0348,Member
C0056,Member
C0176,Member
C0187,Member
C0214,Member
C0140,Non-Member
C0437,Member
C0140,Member
C0478,Non-Member
C0366,Non-Member
C0233,Member
C0007,Non-Member
C0489,Non-Member
C0085,Non-Member
C0143,Non-Member
C0234,Non-Member
C0332,Non-Member
C0486,Member
C0315,Member
C0051,Member
C0085,Member
C0306,Non-Member
C0462,Member
C0205,Member
C0372,Non-Member
C0363,Non-Member
C0309,Member
C0310,Member
C0069,Member
C0162,Non-Member
C0414,Member
C0020,Member
C0120,Non-Member
C0247,Member
C0316,Member
C0244,Non-Member
C0123,Non-Member
C0259,Member
C0322,Non-Member
C0440,Member
C0325,Non-Member
C0006,Non-Member
C0073,Non-Member
C0236,Member
C0320,Member
C0479,Non-Member
C0171,Non-Member
C0360,Member
C0050,Member
C0312,Member
C0079,Non-Member
C0213,Member
C0001,Non-Member
C0071,Non-Member
C0144,Non-Member
C0303,Member
C0470,Non-Member
C0379,Non-Member
C0031,Non-Member
C0441,Member
C0053,Non-Member
C0008,Non-Member
C0209,Non-Member
C0096,Member
C0088,Member
C0253,Non-Member
C0450,Non-Member
C0328,Non-Member
C0017,Member
C0296,Member
C0208,Member
C0212,Member
C0451,Non-Member
C0378,Member
C0021,Member
C0345,Member
C0227,Member
C0456,Non-Member
C0150,Non-Member
C0037,Member
C0184,Non-Member
C0295,Member
C0177,Member
C0203,Member
C0014,Non-Member
C0199,Non-Member
C0401,Non-Member
C0450,Member
C0339,Non-Member
C0210,Member
C0449,Member
C0480,Member
C0409,Non-Member
C0017,Non-Member
C0356,Member
C0103,Member
C0492,Non-Member
C0122,Member
C0148,Member
C0338,Member
C0333,Member
C0297,Member
C0469,Member
C0095,Member
C0425,Non-Member
C0298,Non-Member
C0132,Non-Member
C0204,Non-Member
C0057,Member
C0194,Member
C0269,Non-Member
C0193,Member
C0448,Non-Member
C0460,Member
C0033,Non-Member
C0288,Non-Member
C0054,Member
C0023,Non-Member
C0174,Member
C0016,Non-Member
C0388,Member
C0443,Non-Member
C0119,Non-Member
C0491,Member
C0265,Member
C0009,Member
C0349,Member
C0048,Non-Member
C0293,Member
C0008,Member
C0376,Member
C0212,Non-Member
C0146,Non-Member
C0041,Non-Member
C0461,Member
C0076,Non-Member
C0107,Member
C0323,Member
C0282,Member
C0395,Member
C0300,Member
C0060,Non-Member
C0192,Member
C0249,Non-Member
C0241,Non-Member
C0105,Member
C0459,Non-Member
C0488,Non-Member
C0434,Member
C0075,Non-Member
C0321,Member
C0010,Member
C0326,Member
C0045,Non-Member
C0219,Member
C0113,Non-Member
C0296,Non-Member
C0108,Member
C0003,Member
C0279,Member
C0128,Non-Member
C0400,Member
C0117,Member
C0246,Member
C0427,Non-Member
C0399,Member
C0457,Non-Member
C0331,Member
C0400,Non-Member
C0152,Member
C0205,Non-Member
C0424,Member
C0353,Member
C0282,Non-Member
C0221,Member
C0166,Non-Member
C0416,Member
C0061,Member
C0182,Member
C0231,Member
C0026,Non-Member
C0161,Member
C0046,Non-Member
C0185,Non-Member
C0106,Member
C0500,Member
C0409,Member
C0172,Member
C0269,Member
C0170,Member
C0341,Member
C0141,Member
C0218,Member
C0052,Member
C0396,Non-Member
C0089,Non-Member
C0255,Non-Member
C0327,Member
C0033,Member
C0215,Member
C0298,Member
C0476,Non-Member
C0108,Non-Member
C0416,Non-Member
C0390,Member
C0206,Non-Member
C0428,Non-Member
C0291,Member
C0155,Non-Member
C0394,Member
C0315,Non-Member
C0408,Member
C0401,Member
C0349,Non-Member
C0089,Member
C0080,Non-Member
C0354,Non-Member
C0220,Non-Member
C0350,Member
C0452,Non-Member
C0034,Member
C0010,Non-Member
C0031,Member
C0324,Member
C0059,Non-Member
C0423,Member
C0063,Non-Member
C0125,Non-Member
C0397,Non-Member
C0191,Non-Member
C0283,Member
C0396,Member
C0305,Member
C0028,Member
C0093,Member
C0145,Member
C0455,Member
C0255,Member
C0334,Non-Member
C0473,Member
C0276,Member
C0333,Non-Member
C0172,Non-Member
C0145,Non-Member
C0485,Member
C0258,Non-Member
C0344,Member
C0463,Non-Member
C0344,Non-Member
C0029,Member
C0271,Non-Member
C0180,Non-Member
C0242,Member
C0153,Non-Member
C0090,Member
C0040,Member
C0412,Non-Member
C0053,Member
C0159,Non-Member
C0289,Non-Member
C0086,Non-Member
C0340,Member
C0405,Member
C0391,Member
C0268,Member
C0234,Member
C0217,Non-Member
C0135,Member
C0156,Member
C0137,Member
C0041,Member
C0499,Non-Member
C0446,Non-Member
C0433,Non-Member
C0082,Non-Member
C0137,Non-Member
C0497,Member
C0121,Non-Member
C0425,Member
C0386,Member
C0387,Non-Member
C0341,Non-Member
C0099,Non-Member
C0261,Member
C0167,Member
C0042,Non-Member
C0302,Non-Member
C0292,Member
C0102,Non-Member
C0342,Non-Member
C0018,Non-Member
C0012,Non-Member
C0240,Non-Member
C0126,Member
C0078,Non-Member
C0164,Non-Member
C0078,Member
C0039,Member
C0492,Member
C0036,Non-Member
C0138,Non-Member
C0048,Member
C0335,Member
C0478,Member
C0170,Non-Member
C0030,Non-Member
C0475,Member
C0116,Member
C0307,Member
C0181,Non-Member
C0042,Member
C0058,Member
C0034,Non-Member
C0458,Member
C0369,Non-Member
C0423,Non-Member
C0133,Non-Member
C0002,Member
C0336,Member
C0381,Non-Member
C0476,Member
C0138,Member
C0070,Non-Member
C0467,Non-Member
C0431,Non-Member
C0375,Member
C0254,Non-Member
C0273,Member
C0407,Member
C0224,Non-Member
C0109,Member
C0004,Member
C0251,Non-Member
C0183,Member
C0499,Member
C0365,Non-Member
C0352,Non-Member
C0092,Non-Member
C0120,Member
C0198,Non-Member
C0439,Member
C0083,Non-Member
C0390,Non-Member
C0235,Member
C0338,Non-Member
C0399,Non-Member
C0104,Member
C0219,Non-Member
C0329,Member
C0340,Non-Member
C0039,Non-Member
C0347,Non-Member
C0427,Member
C0160,Non-Member
C0428,Member
C0370,Member
C0020,Non-Member
C0397,Member
C0452,Member
C0158,Non-Member
C0080,Member
C0243,Member
C0287,Non-Member
C0119,Member
C0290,Member
C0166,Member
C0323,Non-Member
C0250,Member
C0480,Non-Member
C0380,Non-Member
C0027,Non-Member
C0163,Member
C0436,Non-Member
C0426,Member
C0128,Member
C0286,Non-Member
C0441,Non-Member
C0448,Member
C0357,Non-Member
C0101,Non-Member
C0361,Member
C0426,Non-Member
C0090,Non-Member
C0307,Non-Member
C0407,Non-Member
C0131,Member
C0075,Member
C0109,Non-Member
C0025,Member
C0368,Non-Member
C0342,Member
C0364,Non-Member
C0497,Non-Member
C0114,Member
C0163,Non-Member
C0066,Member
C0356,Non-Member
C0002,Non-Member
C0422,Member
C0226,Non-Member
C0312,Non-Member
C0083,Member
C0343,Member
C0276,Non-Member
C0169,Member
C0093,Non-Member
C0013,Non-Member
C0224,Member
C0278,Member
C0207,Member
C0382,Non-Member
C0398,Member
C0472,Non-Member
C0253,Member
C0241,Member
C0211,Non-Member
C0118,Member
C0081,Member
C0097,Member
C0001,Member
C0406,Non-Member
C0257,Member
C0087,Member
C0165,Member
C0228,Non-Member
C0197,Non-Member
C0112,Non-Member
C0256,Non-Member
C0221,Non-Member
C0302,Member
C0310,Non-Member
C0161,Non-Member
C0488,Member
C0330,Member
C0003,Non-Member
C0268,Non-Member
C0417,Member
C0394,Non-Member
C0367,Member
C0339,Member
C0376,Non-Member
C0288,Member
C0168,Member
C0180,Member
C0139,Member
C0230,Member
C0243,Non-Member
C0124,Member
C0158,Member
C0095,Non-Member
C0453,Member
C0358,Non-Member
C0173,Member
C0261,Non-Member
C0036,Member
C0280,Non-Member
C0204,Member
C0115,Non-Member
C0447,Member
C0024,Member
C0393,Member
C0272,Member
C0308,Member
C0051,Non-Member
C0375,Non-Member
C0210,Non-Member
C0274,Non-Member
C0092,Member
C0430,Non-Member
C0352,Member
C0408,Non-Member
C0229,Non-Member
C0402,Member
C0437,Non-Member
C0332,Member
C0149,Non-Member
C0377,Non-Member
C0319,Non-Member
C0421,Member
C0285,Non-Member
C0411,Member
C0330,Non-Member
C0084,Member
C0110,Non-Member
C0025,Non-Member
C0052,Non-Member
C0319,Member
C0124,Non-Member
C0222,Member
C0021,Non-Member
C0129,Member
C0444,Member
C0201,Member
C0242,Non-Member
C0060,Member
C0395,Non-Member
C0134,Non-Member
C0111,Member
C0449,Non-Member
C0199,Member
C0496,Member
C0056,Non-Member
C0064,Member
C0185,Member
C0081,Non-Member
C0223,Member
C0374,Non-Member
C0065,Member
C0455,Non-Member
C0432,Non-Member
C0263,Member
C0084,Non-Member
C0270,Non-Member
