Date,Customer_ID,Shop_ID,Shop_Name,Category,Product_Name,Quantity,Unit_Price,Discount,Sales_Amount,Payment_Method,Customer_Type,Rating
2024-01-31,C0236,S007,Sports Arena,Sports,Cricket Bat,3,1999,20,4797.6,UPI,Non-Member,3
2024-02-01,C0392,S005,Home Needs,Home & Lifestyle,Cushion,1,499,0,499.0,Card,Non-Member,4
2024-02-01,C0098,S001,Fashion Hub,Fashion,T-Shirt,2,799,0,1598.0,Cash,Member,5
2024-02-01,C0287,S001,Fashion Hub,Fashion,T-Shirt,1,799,5,759.05,Card,Member,3
2024-02-03,C0111,S005,Home Needs,Home & Lifestyle,Cushion,2,499,20,798.4,UPI,Non-Member,4
2024-02-03,C0264,S005,Home Needs,Home & Lifestyle,Bedsheet,2,1299,0,2598.0,Card,Non-Member,4
2024-02-03,C0280,S002,Style Point,Fashion,Jacket,1,2499,15,2124.15,UPI,Member,3
2024-02-04,C0487,S007,Sports Arena,Sports,Skipping Rope,1,299,0,299.0,UPI,Non-Member,5
2024-02-05,C0439,S005,Home Needs,Home & Lifestyle,Lamp,2,899,5,1708.1,UPI,Non-Member,4
2024-02-05,C0232,S002,Style Point,Fashion,Jeans,2,1499,20,2398.4,UPI,Member,4
2024-02-06,C0316,S005,Home Needs,Home & Lifestyle,Cushion,1,499,20,399.2,UPI,Non-Member,5
2024-02-06,C0107,S006,Beauty Corner,Beauty,Moisturizer,1,599,5,569.05,UPI,Non-Member,4
2024-02-08,C0472,S008,Book House,Books,Magazine,1,149,20,119.2,UPI,Member,4
2024-02-08,C0252,S006,Beauty Corner,Beauty,Shampoo,1,499,5,474.05,Cash,Non-Member,4
2024-02-08,C0293,S008,Book House,Books,Business Book,2,699,5,1328.1,Card,Non-Member,4
2024-02-08,C0239,S007,Sports Arena,Sports,Sports Shoes,1,2499,15,2124.15,UPI,Non-Member,4
2024-02-09,C0447,S005,Home Needs,Home & Lifestyle,Lamp,1,899,5,854.05,UPI,Non-Member,4
2024-02-09,C0359,S008,Book House,Books,Children Book,2,299,10,538.2,Cash,Non-Member,5
2024-02-09,C0486,S005,Home Needs,Home & Lifestyle,Bottle,1,399,0,399.0,UPI,Non-Member,3
2024-02-10,C0429,S001,Fashion Hub,Fashion,Sneakers,1,1999,15,1699.15,Card,Non-Member,3
2024-02-10,C0196,S001,Fashion Hub,Fashion,Shirt,3,999,20,2397.6,Cash,Non-Member,4
2024-02-11,C0259,S006,Beauty Corner,Beauty,Lip Balm,1,249,15,211.65,UPI,Non-Member,5
2024-02-11,C0367,S008,Book House,Books,Novel,1,399,20,319.2,UPI,Non-Member,4
2024-02-12,C0074,S001,Fashion Hub,Fashion,Jacket,1,2499,0,2499.0,Card,Non-Member,5
2024-02-12,C0264,S006,Beauty Corner,Beauty,Perfume,1,999,0,999.0,Cash,Member,4
2024-02-12,C0240,S005,Home Needs,Home & Lifestyle,Cushion,2,499,20,798.4,Cash,Member,3
2024-02-12,C0169,S005,Home Needs,Home & Lifestyle,Cushion,2,499,0,998.0,Cash,Non-Member,3
2024-02-13,C0144,S006,Beauty Corner,Beauty,Face Wash,1,399,5,379.05,UPI,Member,5
2024-02-14,C0314,S007,Sports Arena,Sports,Cricket Bat,3,1999,0,5997.0,Cash,Non-Member,4
2024-02-15,C0454,S005,Home Needs,Home & Lifestyle,Storage Box,1,699,20,559.2,Card,Member,4
2024-02-15,C0106,S003,Tech World,Electronics,Headphones,1,1499,10,1349.1,Card,Non-Member,5
2024-02-16,C0324,S008,Book House,Books,Magazine,2,149,15,253.3,UPI,Non-Member,4
2024-02-16,C0121,S003,Tech World,Electronics,Headphones,1,1499,0,1499.0,Card,Member,5
2024-02-16,C0228,S005,Home Needs,Home & Lifestyle,Lamp,2,899,20,1438.4,UPI,Member,5
2024-02-16,C0233,S004,Mobile Zone,Electronics,Bluetooth Speaker,2,1799,5,3418.1,UPI,Non-Member,3
2024-02-16,C0114,S008,Book House,Books,Children Book,1,299,10,269.1,Cash,Non-Member,5
2024-02-18,C0495,S004,Mobile Zone,Electronics,Keyboard,3,1299,15,3312.45,Card,Non-Member,3
2024-02-18,C0147,S001,Fashion Hub,Fashion,T-Shirt,1,799,0,799.0,Cash,Member,4
2024-02-18,C0405,S006,Beauty Corner,Beauty,Shampoo,1,499,15,424.15,Card,Non-Member,5
2024-02-18,C0462,S007,Sports Arena,Sports,Skipping Rope,3,299,15,762.45,Card,Non-Member,3
2024-02-19,C0496,S006,Beauty Corner,Beauty,Moisturizer,2,599,0,1198.0,UPI,Non-Member,5
2024-02-20,C0500,S004,Mobile Zone,Electronics,Smart Watch,2,2999,0,5998.0,UPI,Non-Member,5
2024-02-21,C0216,S005,Home Needs,Home & Lifestyle,Cushion,2,499,20,798.4,UPI,Non-Member,4
2024-02-21,C0374,S002,Style Point,Fashion,T-Shirt,2,799,0,1598.0,Card,Member,4
2024-02-22,C0130,S004,Mobile Zone,Electronics,Headphones,2,1499,5,2848.1,UPI,Member,3
2024-02-22,C0074,S006,Beauty Corner,Beauty,Shampoo,2,499,10,898.2,Card,Member,5
2024-02-23,C0218,S007,Sports Arena,Sports,Yoga Mat,3,799,5,2277.15,Cash,Non-Member,5
2024-02-23,C0047,S002,Style Point,Fashion,Shirt,3,999,15,2547.45,Cash,Member,3
2024-02-23,C0178,S001,Fashion Hub,Fashion,Jeans,1,1499,5,1424.05,Cash,Non-Member,4
2024-02-24,C0468,S001,Fashion Hub,Fashion,Sneakers,3,1999,15,5097.45,UPI,Non-Member,5
2024-02-24,C0442,S006,Beauty Corner,Beauty,Moisturizer,1,599,0,599.0,Cash,Non-Member,3
2024-02-25,C0208,S007,Sports Arena,Sports,Cricket Bat,1,1999,10,1799.1,UPI,Non-Member,5
2024-02-25,C0230,S007,Sports Arena,Sports,Skipping Rope,3,299,0,897.0,UPI,Non-Member,4
2024-02-26,C0277,S007,Sports Arena,Sports,Skipping Rope,2,299,15,508.3,Card,Member,4
2024-02-26,C0050,S004,Mobile Zone,Electronics,Keyboard,1,1299,5,1234.05,UPI,Non-Member,5
2024-02-27,C0106,S008,Book House,Books,Notebook,2,199,20,318.4,Card,Non-Member,4
2024-02-27,C0018,S003,Tech World,Electronics,Smart Watch,2,2999,20,4798.4,Cash,Member,4
2024-02-27,C0009,S007,Sports Arena,Sports,Cricket Bat,1,1999,5,1899.05,Cash,Non-Member,3
2024-02-29,C0403,S006,Beauty Corner,Beauty,Shampoo,1,499,10,449.1,UPI,Member,5
2024-03-01,C0186,S003,Tech World,Electronics,Power Bank,3,999,0,2997.0,Cash,Member,4
2024-03-01,C0438,S008,Book House,Books,Notebook,2,199,15,338.3,UPI,Member,3
2024-03-01,C0434,S005,Home Needs,Home & Lifestyle,Bottle,1,399,5,379.05,Cash,Non-Member,4
2024-03-02,C0229,S007,Sports Arena,Sports,Yoga Mat,2,799,0,1598.0,Cash,Member,4
2024-03-02,C0264,S001,Fashion Hub,Fashion,T-Shirt,3,799,0,2397.0,UPI,Member,4
2024-03-02,C0387,S007,Sports Arena,Sports,Cricket Bat,1,1999,5,1899.05,Card,Member,4
2024-03-03,C0311,S003,Tech World,Electronics,Headphones,2,1499,0,2998.0,Cash,Non-Member,3
2024-03-03,C0446,S004,Mobile Zone,Electronics,Power Bank,2,999,0,1998.0,Cash,Member,4
2024-03-06,C0091,S001,Fashion Hub,Fashion,Sneakers,3,1999,20,4797.6,Cash,Member,4
2024-03-07,C0493,S007,Sports Arena,Sports,Football,1,899,10,809.1,Card,Non-Member,5
2024-03-07,C0061,S001,Fashion Hub,Fashion,Jeans,1,1499,15,1274.15,Cash,Non-Member,5
2024-03-09,C0058,S006,Beauty Corner,Beauty,Moisturizer,1,599,0,599.0,UPI,Non-Member,4
2024-03-09,C0216,S001,Fashion Hub,Fashion,T-Shirt,1,799,10,719.1,Card,Member,3
2024-03-10,C0462,S002,Style Point,Fashion,T-Shirt,3,799,15,2037.45,Card,Non-Member,5
2024-03-10,C0379,S008,Book House,Books,Children Book,1,299,10,269.1,Cash,Member,5
2024-03-10,C0454,S004,Mobile Zone,Electronics,Headphones,1,1499,10,1349.1,Cash,Member,4
2024-03-11,C0248,S003,Tech World,Electronics,Smart Watch,1,2999,0,2999.0,Card,Non-Member,5
2024-03-12,C0247,S005,Home Needs,Home & Lifestyle,Storage Box,2,699,5,1328.1,UPI,Non-Member,4
2024-03-13,C0014,S005,Home Needs,Home & Lifestyle,Storage Box,1,699,0,699.0,UPI,Member,4
2024-03-14,C0336,S001,Fashion Hub,Fashion,Jacket,1,2499,0,2499.0,Card,Non-Member,5
2024-03-15,C0294,S001,Fashion Hub,Fashion,Shirt,2,999,0,1998.0,Card,Member,4
2024-03-16,C0188,S001,Fashion Hub,Fashion,Jacket,1,2499,0,2499.0,UPI,Non-Member,5
2024-03-16,C0471,S006,Beauty Corner,Beauty,Moisturizer,1,599,0,599.0,Cash,Non-Member,3
2024-03-16,C0035,S006,Beauty Corner,Beauty,Moisturizer,1,599,20,479.2,Cash,Member,4
2024-03-16,C0265,S004,Mobile Zone,Electronics,Bluetooth Speaker,1,1799,5,1709.05,Cash,Non-Member,5
2024-03-16,C0231,S008,Book House,Books,Notebook,2,199,5,378.1,Card,Non-Member,5
2024-03-17,C0164,S001,Fashion Hub,Fashion,Jeans,2,1499,0,2998.0,UPI,Member,5
2024-03-18,C0167,S004,Mobile Zone,Electronics,Keyboard,1,1299,0,1299.0,Card,Non-Member,4
2024-03-18,C0038,S007,Sports Arena,Sports,Yoga Mat,1,799,0,799.0,Card,Member,4
2024-03-18,C0410,S005,Home Needs,Home & Lifestyle,Storage Box,1,699,5,664.05,Card,Non-Member,3
2024-03-18,C0435,S006,Beauty Corner,Beauty,Shampoo,2,499,5,948.1,Card,Non-Member,5
2024-03-19,C0385,S003,Tech World,Electronics,Power Bank,1,999,10,899.1,Card,Non-Member,5
2024-03-19,C0464,S002,Style Point,Fashion,Shirt,3,999,15,2547.45,Card,Member,4
2024-03-19,C0067,S001,Fashion Hub,Fashion,Sneakers,1,1999,5,1899.05,Cash,Member,4
2024-03-22,C0044,S003,Tech World,Electronics,Bluetooth Speaker,2,1799,10,3238.2,Card,Non-Member,4
2024-03-22,C0087,S007,Sports Arena,Sports,Cricket Bat,1,1999,10,1799.1,UPI,Non-Member,5
2024-03-24,C0155,S005,Home Needs,Home & Lifestyle,Bottle,1,399,20,319.2,UPI,Member,5
2024-03-25,C0320,S008,Book House,Books,Business Book,3,699,10,1887.3,Card,Non-Member,4
2024-03-26,C0142,S004,Mobile Zone,Electronics,Power Bank,1,999,20,799.2,Cash,Member,5
2024-03-26,C0175,S007,Sports Arena,Sports,Skipping Rope,3,299,15,762.45,Card,Member,4
2024-03-26,C0044,S008,Book House,Books,Novel,1,399,0,399.0,Card,Member,5
2024-03-27,C0043,S001,Fashion Hub,Fashion,Sneakers,2,1999,0,3998.0,UPI,Member,4
2024-03-27,C0079,S008,Book House,Books,Children Book,1,299,0,299.0,UPI,Member,3
2024-03-27,C0055,S002,Style Point,Fashion,Shirt,3,999,0,2997.0,Card,Member,5
2024-03-27,C0176,S007,Sports Arena,Sports,Cricket Bat,2,1999,10,3598.2,Cash,Non-Member,3
2024-03-28,C0324,S005,Home Needs,Home & Lifestyle,Bedsheet,2,1299,15,2208.3,Cash,Non-Member,5
2024-03-28,C0256,S007,Sports Arena,Sports,Skipping Rope,1,299,5,284.05,Cash,Member,4
2024-03-28,C0211,S005,Home Needs,Home & Lifestyle,Bedsheet,1,1299,5,1234.05,UPI,Member,5
2024-03-28,C0072,S005,Home Needs,Home & Lifestyle,Cushion,3,499,20,1197.6,UPI,Non-Member,4
2024-03-29,C0403,S005,Home Needs,Home & Lifestyle,Lamp,3,899,0,2697.0,UPI,Non-Member,4
2024-03-29,C0142,S006,Beauty Corner,Beauty,Face Wash,1,399,10,359.1,Cash,Member,4
2024-03-30,C0136,S005,Home Needs,Home & Lifestyle,Cushion,2,499,10,898.2,Card,Non-Member,4
2024-03-30,C0260,S005,Home Needs,Home & Lifestyle,Bedsheet,1,1299,5,1234.05,Card,Non-Member,5
2024-04-01,C0018,S002,Style Point,Fashion,Jacket,1,2499,15,2124.15,Card,Member,5
2024-04-01,C0470,S004,Mobile Zone,Electronics,Bluetooth Speaker,1,1799,5,1709.05,Card,Member,5
2024-04-01,C0367,S002,Style Point,Fashion,Sneakers,1,1999,10,1799.1,Cash,Non-Member,5
2024-04-02,C0454,S007,Sports Arena,Sports,Skipping Rope,2,299,0,598.0,UPI,Non-Member,5
2024-04-04,C0262,S001,Fashion Hub,Fashion,Jacket,1,2499,10,2249.1,UPI,Member,4
2024-04-05,C0262,S008,Book House,Books,Notebook,3,199,5,567.15,Card,Non-Member,5
2024-04-05,C0384,S003,Tech World,Electronics,Power Bank,2,999,20,1598.4,Card,Non-Member,4
2024-04-05,C0152,S008,Book House,Books,Children Book,1,299,0,299.0,Cash,Non-Member,5
2024-04-05,C0190,S002,Style Point,Fashion,Shirt,2,999,20,1598.4,UPI,Non-Member,5
2024-04-06,C0358,S003,Tech World,Electronics,Bluetooth Speaker,2,1799,5,3418.1,Card,Member,4
2024-04-08,C0047,S003,Tech World,Electronics,Bluetooth Speaker,2,1799,10,3238.2,Cash,Member,5
2024-04-08,C0459,S006,Beauty Corner,Beauty,Perfume,2,999,0,1998.0,Cash,Member,5
2024-04-08,C0076,S005,Home Needs,Home & Lifestyle,Bottle,1,399,15,339.15,Card,Member,4
2024-04-10,C0451,S008,Book House,Books,Children Book,1,299,10,269.1,UPI,Member,5
2024-04-12,C0481,S005,Home Needs,Home & Lifestyle,Storage Box,3,699,5,1992.15,Cash,Member,5
2024-04-12,C0422,S005,Home Needs,Home & Lifestyle,Cushion,1,499,5,474.05,Card,Non-Member,4
2024-04-13,C0294,S007,Sports Arena,Sports,Cricket Bat,1,1999,5,1899.05,Card,Member,4
2024-04-13,C0214,S004,Mobile Zone,Electronics,Power Bank,2,999,0,1998.0,UPI,Non-Member,4
2024-04-14,C0099,S003,Tech World,Electronics,Power Bank,1,999,15,849.15,Cash,Member,5
2024-04-14,C0147,S002,Style Point,Fashion,Sneakers,2,1999,15,3398.3,UPI,Non-Member,5
2024-04-14,C0181,S008,Book House,Books,Novel,1,399,10,359.1,Card,Member,4
2024-04-14,C0193,S006,Beauty Corner,Beauty,Shampoo,2,499,15,848.3,UPI,Non-Member,4
2024-04-15,C0179,S002,Style Point,Fashion,T-Shirt,1,799,10,719.1,Card,Non-Member,5
2024-04-15,C0420,S003,Tech World,Electronics,Bluetooth Speaker,2,1799,5,3418.1,Card,Non-Member,4
2024-04-16,C0188,S002,Style Point,Fashion,Shirt,1,999,5,949.05,Card,Non-Member,4
2024-04-16,C0232,S001,Fashion Hub,Fashion,Shirt,3,999,10,2697.3,Card,Non-Member,4
2024-04-18,C0035,S005,Home Needs,Home & Lifestyle,Lamp,3,899,5,2562.15,Cash,Non-Member,3
2024-04-18,C0279,S001,Fashion Hub,Fashion,Sneakers,1,1999,0,1999.0,Card,Non-Member,4
2024-04-19,C0049,S003,Tech World,Electronics,Headphones,3,1499,0,4497.0,UPI,Member,4
2024-04-20,C0251,S007,Sports Arena,Sports,Football,1,899,10,809.1,Cash,Member,4
2024-04-21,C0453,S003,Tech World,Electronics,Power Bank,2,999,5,1898.1,UPI,Non-Member,4
2024-04-21,C0171,S005,Home Needs,Home & Lifestyle,Lamp,1,899,15,764.15,Card,Member,4
2024-04-21,C0413,S001,Fashion Hub,Fashion,Shirt,1,999,20,799.2,UPI,Member,3
2024-04-21,C0468,S003,Tech World,Electronics,Keyboard,1,1299,5,1234.05,Card,Non-Member,3
2024-04-21,C0274,S004,Mobile Zone,Electronics,Power Bank,3,999,0,2997.0,Cash,Member,5
2024-04-22,C0012,S003,Tech World,Electronics,Smart Watch,2,2999,10,5398.2,Card,Member,4
2024-04-24,C0220,S002,Style Point,Fashion,T-Shirt,3,799,20,1917.6,Cash,Member,3
2024-04-24,C0121,S002,Style Point,Fashion,Sneakers,2,1999,0,3998.0,UPI,Member,4
2024-04-25,C0451,S005,Home Needs,Home & Lifestyle,Storage Box,1,699,20,559.2,UPI,Member,4
2024-04-25,C0026,S004,Mobile Zone,Electronics,Smart Watch,3,2999,10,8097.3,UPI,Member,5
2024-04-26,C0331,S001,Fashion Hub,Fashion,Jacket,2,2499,20,3998.4,Cash,Non-Member,4
2024-04-26,C0043,S005,Home Needs,Home & Lifestyle,Bottle,3,399,5,1137.15,Cash,Member,5
2024-04-26,C0116,S001,Fashion Hub,Fashion,T-Shirt,1,799,5,759.05,UPI,Non-Member,3
2024-04-27,C0482,S003,Tech World,Electronics,Headphones,2,1499,15,2548.3,Cash,Non-Member,4
2024-04-30,C0094,S004,Mobile Zone,Electronics,Bluetooth Speaker,1,1799,5,1709.05,UPI,Member,4
2024-05-01,C0273,S002,Style Point,Fashion,T-Shirt,3,799,0,2397.0,Card,Non-Member,3
2024-05-01,C0211,S004,Mobile Zone,Electronics,Power Bank,1,999,15,849.15,Card,Member,4
2024-05-01,C0432,S003,Tech World,Electronics,Keyboard,2,1299,5,2468.1,UPI,Member,3
2024-05-02,C0173,S004,Mobile Zone,Electronics,Bluetooth Speaker,2,1799,10,3238.2,UPI,Non-Member,4
2024-05-04,C0082,S007,Sports Arena,Sports,Football,1,899,10,809.1,Cash,Member,4
2024-05-04,C0037,S006,Beauty Corner,Beauty,Shampoo,2,499,0,998.0,Card,Non-Member,5
2024-05-05,C0413,S003,Tech World,Electronics,Bluetooth Speaker,3,1799,5,5127.15,Cash,Member,4
2024-05-07,C0007,S002,Style Point,Fashion,Sneakers,1,1999,0,1999.0,Card,Member,5
2024-05-08,C0291,S003,Tech World,Electronics,Smart Watch,1,2999,0,2999.0,UPI,Non-Member,4
2024-05-08,C0337,S003,Tech World,Electronics,Headphones,1,1499,15,1274.15,Card,Member,4
2024-05-08,C0364,S007,Sports Arena,Sports,Football,2,899,0,1798.0,UPI,Member,3
2024-05-09,C0194,S007,Sports Arena,Sports,Skipping Rope,1,299,5,284.05,UPI,Non-Member,5
2024-05-10,C0498,S003,Tech World,Electronics,Smart Watch,1,2999,5,2849.05,UPI,Non-Member,4
2024-05-10,C0293,S004,Mobile Zone,Electronics,Keyboard,2,1299,0,2598.0,Cash,Non-Member,4
2024-05-10,C0353,S007,Sports Arena,Sports,Yoga Mat,2,799,0,1598.0,UPI,Non-Member,4
2024-05-10,C0188,S006,Beauty Corner,Beauty,Moisturizer,1,599,0,599.0,Cash,Member,4
2024-05-11,C0418,S001,Fashion Hub,Fashion,Jacket,2,2499,10,4498.2,UPI,Member,3
2024-05-11,C0111,S008,Book House,Books,Business Book,2,699,0,1398.0,UPI,Non-Member,4
2024-05-12,C0443,S006,Beauty Corner,Beauty,Moisturizer,2,599,20,958.4,UPI,Member,5
2024-05-12,C0071,S003,Tech World,Electronics,Headphones,1,1499,5,1424.05,Cash,Member,5
2024-05-12,C0473,S007,Sports Arena,Sports,Skipping Rope,2,299,0,598.0,Card,Non-Member,4
2024-05-12,C0055,S005,Home Needs,Home & Lifestyle,Bedsheet,2,1299,15,2208.3,UPI,Non-Member,5
2024-05-12,C0351,S006,Beauty Corner,Beauty,Moisturizer,1,599,20,479.2,UPI,Non-Member,4
2024-05-13,C0067,S003,Tech World,Electronics,Smart Watch,3,2999,20,7197.6,Cash,Non-Member,5
2024-05-15,C0183,S006,Beauty Corner,Beauty,Shampoo,2,499,20,798.4,UPI,Non-Member,5
2024-05-16,C0421,S006,Beauty Corner,Beauty,Moisturizer,3,599,10,1617.3,Card,Non-Member,5
2024-05-16,C0411,S001,Fashion Hub,Fashion,T-Shirt,1,799,5,759.05,Card,Non-Member,4
2024-05-16,C0371,S005,Home Needs,Home & Lifestyle,Cushion,3,499,15,1272.45,Card,Member,5
2024-05-16,C0190,S002,Style Point,Fashion,Jeans,1,1499,15,1274.15,Card,Member,5
2024-05-17,C0066,S005,Home Needs,Home & Lifestyle,Bottle,2,399,15,678.3,Card,Non-Member,4
2024-05-17,C0345,S004,Mobile Zone,Electronics,Power Bank,3,999,5,2847.15,UPI,Non-Member,4
2024-05-18,C0314,S008,Book House,Books,Business Book,3,699,10,1887.3,Card,Member,4
2024-05-18,C0194,S005,Home Needs,Home & Lifestyle,Cushion,2,499,0,998.0,Card,Non-Member,4
2024-05-19,C0047,S004,Mobile Zone,Electronics,Headphones,2,1499,0,2998.0,UPI,Non-Member,5
2024-05-19,C0106,S005,Home Needs,Home & Lifestyle,Bedsheet,1,1299,0,1299.0,UPI,Non-Member,4
2024-05-19,C0481,S003,Tech World,Electronics,Power Bank,1,999,0,999.0,UPI,Non-Member,3
2024-05-19,C0355,S004,Mobile Zone,Electronics,Keyboard,2,1299,15,2208.3,UPI,Non-Member,5
2024-05-20,C0232,S001,Fashion Hub,Fashion,Sneakers,1,1999,15,1699.15,UPI,Non-Member,3
